	0
260	http://www.worldportsource.com/ports/BRA_Sao_Francisco_do_Sul_Marine_Terminal_3962.php
261	http://www.worldportsource.com/ports/BRA_Admiral_Barroso_Terminal_3946.php
262	http://www.worldportsource.com/ports/BRA_Port_of_Sao_Sebastiao_2117.php
263	http://www.worldportsource.com/ports/BRA_Port_of_Tabatinga_5219.php
264	http://www.worldportsource.com/ports/BRA_Port_of_Tefe_5223.php
265	http://www.worldportsource.com/ports/BRA_Port_of_Tramandai_3552.php
266	http://www.worldportsource.com/ports/BRA_Port_of_Tubarao_3964.php
267	http://www.worldportsource.com/ports/BRA_Port_of_Tucurui_4854.php
268	http://www.worldportsource.com/ports/BRA_Port_of_Usiba_3546.php
269	http://www.worldportsource.com/ports/BRA_Port_of_Vila_do_Conde_1780.php
270	http://www.worldportsource.com/ports/BRN_Port_of_Muara_1665.php
271	http://www.worldportsource.com/ports/BGR_Port_of_Bourgas_861.php
272	http://www.worldportsource.com/ports/KHM_Port_Sihanoukville_303.php
273	http://www.worldportsource.com/ports/CAN_Port_of_Port_Cartier_2617.php
274	http://www.worldportsource.com/ports/CAN_Alliford_Bay_4191.php
275	http://www.worldportsource.com/ports/CAN_Port_of_Havre_Aubert_3965.php
276	http://www.worldportsource.com/ports/CAN_Port_of_Amherstburg_3966.php
277	http://www.worldportsource.com/ports/CAN_Port_of_Annapolis_Royal_2601.php
278	http://www.worldportsource.com/ports/CAN_Port_of_Argentia_1623.php
279	http://www.worldportsource.com/ports/CAN_Port_of_Arichat_3968.php
280	http://www.worldportsource.com/ports/CAN_Arnold_s_Cove_Harbour_2602.php
281	http://www.worldportsource.com/ports/CAN_Port_of_Baddeck_2603.php
282	http://www.worldportsource.com/ports/CAN_Port_of_Baie_Verte_3969.php
283	http://www.worldportsource.com/ports/CAN_Port_of_Baie_Comeau_3970.php
284	http://www.worldportsource.com/ports/CAN_Port_of_Bamberton_4015.php
285	http://www.worldportsource.com/ports/CAN_Port_of_Bathurst_2639.php
286	http://www.worldportsource.com/ports/CAN_Bay_Bulls_Harbour_2604.php
287	http://www.worldportsource.com/ports/CAN_Bay_Roberts_Harbor_3971.php
288	http://www.worldportsource.com/ports/CAN_Bayside_Harbour_2605.php
289	http://www.worldportsource.com/ports/CAN_Beaver_Harbour_3972.php
290	http://www.worldportsource.com/ports/CAN_Beaver_Harbour_4079.php
291	http://www.worldportsource.com/ports/CAN_Bella_Coola_Harbour_2606.php
292	http://www.worldportsource.com/ports/CAN_Port_of_Belledune_129.php
293	http://www.worldportsource.com/ports/CAN_Blacks_Harbor_3973.php
294	http://www.worldportsource.com/ports/CAN_Port_of_Blanc_Sablon_3975.php
295	http://www.worldportsource.com/ports/CAN_Bloedel_Harbor_3989.php
296	http://www.worldportsource.com/ports/CAN_Blubber_Bay_Harbor_4089.php
297	http://www.worldportsource.com/ports/CAN_Botwood_Harbor_3976.php
298	http://www.worldportsource.com/ports/CAN_Port_of_Bridgewater_3977.php
299	http://www.worldportsource.com/ports/CAN_Brigus_Bay_Harbor_4028.php
300	http://www.worldportsource.com/ports/CAN_Brockville_Harbour_2607.php
301	http://www.worldportsource.com/ports/CAN_Bronte_Harbor_3998.php
302	http://www.worldportsource.com/ports/CAN_Buctouche_Harbour_3981.php
303	http://www.worldportsource.com/ports/CAN_Burgeo_Harbor_3982.php
304	http://www.worldportsource.com/ports/CAN_Campbell_River_Harbor_3983.php
305	http://www.worldportsource.com/ports/CAN_Port_of_Campbellton_2608.php
306	http://www.worldportsource.com/ports/CAN_Canso_Harbour_2610.php
307	http://www.worldportsource.com/ports/CAN_Port_of_Cap_aux_Meules_3967.php
308	http://www.worldportsource.com/ports/CAN_Port_of_Caraquet_2612.php
309	http://www.worldportsource.com/ports/CAN_Port_of_Carbonear_2613.php
310	http://www.worldportsource.com/ports/CAN_Port_of_Cardinal_4072.php
311	http://www.worldportsource.com/ports/CAN_Carleton_Harbor_3990.php
312	http://www.worldportsource.com/ports/CAN_Carmanville_Harbour_2085.php
313	http://www.worldportsource.com/ports/CAN_Catalina_Harbour_2086.php
314	http://www.worldportsource.com/ports/CAN_Chandler_Harbor_3991.php
315	http://www.worldportsource.com/ports/CAN_Charlottetown_Harbour_2615.php
316	http://www.worldportsource.com/ports/CAN_Chatham_Harbor_3992.php
317	http://www.worldportsource.com/ports/CAN_Port_of_Chemainus_510.php
318	http://www.worldportsource.com/ports/CAN_Chester_Harbor_3980.php
319	http://www.worldportsource.com/ports/CAN_Port_of_Chicoutimi_1761.php
320	http://www.worldportsource.com/ports/CAN_Port_of_Churchill_341.php
321	http://www.worldportsource.com/ports/CAN_Clarenville_Harbor_3994.php
322	http://www.worldportsource.com/ports/CAN_Port_of_Clarkson_3995.php
323	http://www.worldportsource.com/ports/CAN_Coal_Harbor_4074.php
324	http://www.worldportsource.com/ports/CAN_Port_of_Collingwood_2616.php
325	http://www.worldportsource.com/ports/CAN_Port_of_Come_By_Chance_3999.php
326	http://www.worldportsource.com/ports/CAN_Comox_Harbor_4000.php
327	http://www.worldportsource.com/ports/CAN_Contrecoeur_Harbor_4001.php
328	http://www.worldportsource.com/ports/CAN_Port_of_Corner_Brook_2618.php
329	http://www.worldportsource.com/ports/CAN_Port_of_Cornwall_4003.php
330	http://www.worldportsource.com/ports/CAN_Cortes_Bay_Harbor_3986.php
331	http://www.worldportsource.com/ports/CAN_Country_Harbour_4004.php
332	http://www.worldportsource.com/ports/CAN_Port_of_Cowichan_Bay_2619.php
333	http://www.worldportsource.com/ports/CAN_Port_of_Crofton_4005.php
334	http://www.worldportsource.com/ports/CAN_Port_of_Dalhousie_3782.php
335	http://www.worldportsource.com/ports/CAN_Westshore_Terminals_5212.php
336	http://www.worldportsource.com/ports/CAN_Port_of_Digby_511.php
337	http://www.worldportsource.com/ports/CAN_Port_of_Dixon_Entrance_4195.php
338	http://www.worldportsource.com/ports/CAN_Duncan_Bay_Harbor_3988.php
339	http://www.worldportsource.com/ports/CAN_Esquimalt_Harbor_4014.php
340	http://www.worldportsource.com/ports/CAN_Fairview_Cove_Terminal_4400.php
341	http://www.worldportsource.com/ports/CAN_Forestville_Harbor_4016.php
342	http://www.worldportsource.com/ports/CAN_Fulford_Harbour_4010.php
343	http://www.worldportsource.com/ports/CAN_Ganges_Harbor_4006.php
344	http://www.worldportsource.com/ports/CAN_Port_of_Gaspe_307.php
345	http://www.worldportsource.com/ports/CAN_Georgetown_Harbor_4017.php
346	http://www.worldportsource.com/ports/CAN_Port_of_Godbout_2620.php
347	http://www.worldportsource.com/ports/CAN_Port_of_Goderich_2621.php
348	http://www.worldportsource.com/ports/CAN_Port_of_Gold_River_2622.php
349	http://www.worldportsource.com/ports/CAN_Goose_Bay_Harbor_4018.php
350	http://www.worldportsource.com/ports/CAN_Grand_Bank_Harbour_2623.php
351	http://www.worldportsource.com/ports/CAN_Gros_Cacouna_Harbor_4021.php
352	http://www.worldportsource.com/ports/CAN_Hantsport_Harbor_4023.php
353	http://www.worldportsource.com/ports/CAN_Harbour_Breton_4026.php
354	http://www.worldportsource.com/ports/CAN_Port_of_Harbour_Grace_2088.php
355	http://www.worldportsource.com/ports/CAN_Harmac_Harbor_4008.php
356	http://www.worldportsource.com/ports/CAN_Port_of_Havre_St_Pierre_2625.php
357	http://www.worldportsource.com/ports/CAN_Heron_Bay_4050.php
358	http://www.worldportsource.com/ports/CAN_Holyrood_Harbor_4027.php
359	http://www.worldportsource.com/ports/CAN_Iona_Harbour_2614.php
360	http://www.worldportsource.com/ports/CAN_Iqaluit_Harbor_4029.php
361	http://www.worldportsource.com/ports/CAN_Isaac_s_Harbour_4030.php
362	http://www.worldportsource.com/ports/CAN_Kelsey_Bay_Harbor_4035.php
363	http://www.worldportsource.com/ports/CAN_Kingston_Harbor_4038.php
364	http://www.worldportsource.com/ports/CAN_Port_of_Kingsville_2626.php
365	http://www.worldportsource.com/ports/CAN_Port_of_Kitimat_1489.php
366	http://www.worldportsource.com/ports/CAN_Telegraph_Harbour_4007.php
367	http://www.worldportsource.com/ports/CAN_La_Baie_Harbor_4068.php
368	http://www.worldportsource.com/ports/CAN_La_Have_Harbor_4040.php
369	http://www.worldportsource.com/ports/CAN_Ladysmith_Harbor_4009.php
370	http://www.worldportsource.com/ports/CAN_Les_Escoumins_Harbor_4041.php
371	http://www.worldportsource.com/ports/CAN_Les_Mechins_Harbor_4042.php
372	http://www.worldportsource.com/ports/CAN_Letang_Harbor_3974.php
